,time,strain,mean,sem
0,1900-01-01 00:00:00,RB,0.0,0.0
1,1900-01-01 00:10:00,RB,0.022222222222222223,0.01721325931647741
2,1900-01-01 00:20:00,RB,0.023809523809523808,0.018442777839082936
3,1900-01-01 00:30:00,RB,0.025641025641025644,0.019861453057473933
4,1900-01-01 00:40:00,RB,0.11188811188811189,0.027083799623828092
5,1900-01-01 00:50:00,RB,0.3666666666666667,0.10327955589886445
6,1900-01-01 01:00:00,RB,0.6853146853146853,0.12924772086319353
7,1900-01-01 01:10:00,RB,0.8578088578088577,0.0505564259644791
8,1900-01-01 01:20:00,RB,0.9090909090909092,0.07041787902195303
9,1900-01-01 01:30:00,RB,0.9184149184149185,0.034590063965593554
10,1900-01-01 01:40:00,RB,0.8376623376623377,0.06421680683156424
11,1900-01-01 01:50:00,RB,0.8578088578088577,0.06115050415952904
12,1900-01-01 02:00:00,RB,0.8321678321678322,0.04411695187576925
13,1900-01-01 02:10:00,RB,0.9743589743589745,0.01986145305747392
14,1900-01-01 02:20:00,RB,0.9465811965811967,0.02073860779239475
15,1900-01-01 02:30:00,RB,0.9137529137529138,0.04081584415964714
16,1900-01-01 02:40:00,RB,0.882051282051282,0.04683261561776768
17,1900-01-01 02:50:00,RB,0.9440559440559441,0.021891574604893046
18,1900-01-01 03:00:00,RB,,
19,1900-01-01 00:00:00,NJ,0.05444444444444444,0.020869967789998035
20,1900-01-01 00:10:00,NJ,0.04256965944272446,0.024982940755699554
21,1900-01-01 00:20:00,NJ,0.0875,0.05283622494715786
22,1900-01-01 00:30:00,NJ,0.17811355311355315,0.04426193422972142
23,1900-01-01 00:40:00,NJ,0.306456043956044,0.047422972626455444
24,1900-01-01 00:50:00,NJ,0.5764764734416687,0.05931915652967098
25,1900-01-01 01:00:00,NJ,0.7050046992481203,0.11280758572060862
26,1900-01-01 01:10:00,NJ,0.8397130647130646,0.039084638154866576
27,1900-01-01 01:20:00,NJ,0.8672771672771673,0.04770431613107225
28,1900-01-01 01:30:00,NJ,0.8472222222222222,0.0795434503515353
29,1900-01-01 01:40:00,NJ,0.8756105006105006,0.05265917243450195
30,1900-01-01 01:50:00,NJ,0.9365079365079365,0.03329551898952863
31,1900-01-01 02:00:00,NJ,0.9543650793650793,0.024654324709538208
32,1900-01-01 02:10:00,NJ,0.9404761904761905,0.03531523089093172
33,1900-01-01 02:20:00,NJ,0.8884920634920636,0.07394253248540551
34,1900-01-01 02:30:00,NJ,0.955952380952381,0.030285864030776856
35,1900-01-01 02:40:00,NJ,0.9722222222222222,0.024845199749997673
36,1900-01-01 02:50:00,NJ,0.9682539682539683,0.016647759494764307
37,1900-01-01 03:00:00,NJ,,
38,1900-01-01 00:00:00,JCC,0.0,0.0
39,1900-01-01 00:10:00,JCC,0.03125,0.02795084971874737
40,1900-01-01 00:20:00,JCC,0.0,0.0
41,1900-01-01 00:30:00,JCC,0.06026785714285714,0.018959836164301976
42,1900-01-01 00:40:00,JCC,0.2175456122824544,0.03194561173075359
43,1900-01-01 00:50:00,JCC,0.29965034965034965,0.06520618111837144
44,1900-01-01 01:00:00,JCC,0.5535714285714286,0.11956554004957673
45,1900-01-01 01:10:00,JCC,0.596031746031746,0.11152078669672884
46,1900-01-01 01:20:00,JCC,0.7458333333333333,0.109016683072861
47,1900-01-01 01:30:00,JCC,0.7713585434173669,0.08226488270178839
48,1900-01-01 01:40:00,JCC,0.8316526610644258,0.027662819502523785
49,1900-01-01 01:50:00,JCC,0.8098739495798319,0.09649087470555404
50,1900-01-01 02:00:00,JCC,0.859391124871001,0.0663021566595161
51,1900-01-01 02:10:00,JCC,0.8793183940242764,0.04113028866176084
52,1900-01-01 02:20:00,JCC,0.8027544351073762,0.07579980073032684
53,1900-01-01 02:30:00,JCC,0.9543650793650793,0.024654324709538208
54,1900-01-01 02:40:00,JCC,0.9365079365079365,0.03329551898952863
55,1900-01-01 02:50:00,JCC,0.9456115779645191,0.020397807913121836
56,1900-01-01 03:00:00,JCC,,
57,1900-01-01 00:00:00,N2,0.051515151515151514,0.03374402644139407
58,1900-01-01 00:10:00,N2,0.09025641025641026,0.0450757270632733
59,1900-01-01 00:20:00,N2,0.07788461538461539,0.02666042518180129
60,1900-01-01 00:30:00,N2,0.18472527472527472,0.0687147562072283
61,1900-01-01 00:40:00,N2,0.30995670995670993,0.12315503759102343
62,1900-01-01 00:50:00,N2,0.4601265401265401,0.1368067978153408
63,1900-01-01 01:00:00,N2,0.6683116883116884,0.12608884846087665
64,1900-01-01 01:10:00,N2,0.7771428571428571,0.09131689608283934
65,1900-01-01 01:20:00,N2,0.8957142857142857,0.03566981358105238
66,1900-01-01 01:30:00,N2,0.8504761904761905,0.04667759833090219
67,1900-01-01 01:40:00,N2,0.9214285714285715,0.04573660169594892
68,1900-01-01 01:50:00,N2,0.8928571428571429,0.05429406786186371
69,1900-01-01 02:00:00,N2,0.9261904761904761,0.055379539760061935
70,1900-01-01 02:10:00,N2,0.8928571428571429,0.05429406786186371
71,1900-01-01 02:20:00,N2,0.9404761904761905,0.04192099252775954
72,1900-01-01 02:30:00,N2,0.885064935064935,0.03327002477385596
73,1900-01-01 02:40:00,N2,0.8898268398268397,0.026270850875866607
74,1900-01-01 02:50:00,N2,0.9238095238095237,0.02277515055917738
75,1900-01-01 03:00:00,N2,,
